ENA|CP003859|CP003859.1	Streptococcus	constellatus	C1050
scaffold_64	Staphylococcus	aureus	IIDRC0017
scaffold_65	Staphylococcus	aureus	IIDRC0017
NC_000913.3	Escherichia	coli	BW25113
NODE_1_length_557716_cov_62.0287	Klebsiella	pneumoniae	N25C9
NODE_2_length_443544_cov_70.4415	Klebsiella	pneumoniae	N25C9
NODE_3_length_348868_cov_68.3666	Klebsiella	pneumoniae	N25C9
NODE_4_length_222168_cov_60.6648	Klebsiella	pneumoniae	N25C9
NODE_5_length_215992_cov_61.9121	Klebsiella	pneumoniae	N25C9
NODE_6_length_168893_cov_65.8799	Klebsiella	pneumoniae	N25C9
NODE_7_length_151644_cov_59.0551	Klebsiella	pneumoniae	N25C9
NODE_8_length_106113_cov_70.5558	Klebsiella	pneumoniae	N25C9
NODE_9_length_103591_cov_67.1518	Klebsiella	pneumoniae	N25C9
NODE_10_length_86550_cov_72.1961	Klebsiella	pneumoniae	N25C9
NODE_11_length_66434_cov_57.04	Klebsiella	pneumoniae	N25C9
NODE_12_length_57895_cov_63.7407	Klebsiella	pneumoniae	N25C9
NODE_13_length_52108_cov_56.8449	Klebsiella	pneumoniae	N25C9
NODE_14_length_39481_cov_62.9472	Klebsiella	pneumoniae	N25C9
NODE_15_length_34718_cov_57.987	Klebsiella	pneumoniae	N25C9
NODE_16_length_33335_cov_60.9343	Klebsiella	pneumoniae	N25C9
NODE_17_length_29311_cov_70.8193	Klebsiella	pneumoniae	N25C9
NODE_18_length_27403_cov_80.6202	Klebsiella	pneumoniae	N25C9
NODE_19_length_20356_cov_63.0078	Klebsiella	pneumoniae	N25C9
NODE_20_length_19498_cov_51.2681	Klebsiella	pneumoniae	N25C9
NODE_21_length_10290_cov_89.1397	Klebsiella	pneumoniae	N25C9
NODE_22_length_10285_cov_89.0134	Klebsiella	pneumoniae	N25C9
NODE_23_length_8785_cov_68.6265	Klebsiella	pneumoniae	N25C9
NODE_24_length_5731_cov_166.066	Klebsiella	pneumoniae	N25C9
NODE_25_length_5366_cov_136.989	Klebsiella	pneumoniae	N25C9
NODE_26_length_4487_cov_162.176	Klebsiella	pneumoniae	N25C9
NODE_27_length_4375_cov_65.068	Klebsiella	pneumoniae	N25C9
NODE_28_length_3750_cov_103.174	Klebsiella	pneumoniae	N25C9
NODE_29_length_3121_cov_742.601	Klebsiella	pneumoniae	N25C9
NODE_30_length_2926_cov_112.482	Klebsiella	pneumoniae	N25C9
NODE_31_length_2920_cov_100.955	Klebsiella	pneumoniae	N25C9
NODE_32_length_2787_cov_142.483	Klebsiella	pneumoniae	N25C9
NODE_33_length_2728_cov_74.0657	Klebsiella	pneumoniae	N25C9
NODE_34_length_2264_cov_67.8423	Klebsiella	pneumoniae	N25C9
NODE_35_length_2263_cov_79.8198	Klebsiella	pneumoniae	N25C9
NODE_36_length_2173_cov_98.8578	Klebsiella	pneumoniae	N25C9
NODE_37_length_1641_cov_646.103	Klebsiella	pneumoniae	N25C9
NODE_38_length_1501_cov_510.151	Klebsiella	pneumoniae	N25C9
NODE_39_length_1236_cov_162.178	Klebsiella	pneumoniae	N25C9
NODE_40_length_1231_cov_143.553	Klebsiella	pneumoniae	N25C9
NODE_41_length_738_cov_54.347	Klebsiella	pneumoniae	N25C9
NODE_42_length_719_cov_207.15	Klebsiella	pneumoniae	N25C9
NODE_43_length_662_cov_119.682	Klebsiella	pneumoniae	N25C9
NODE_44_length_662_cov_127.677	Klebsiella	pneumoniae	N25C9
NODE_45_length_556_cov_127.24	Klebsiella	pneumoniae	N25C9
NODE_46_length_512_cov_0.636364	Klebsiella	pneumoniae	N25C9
NODE_47_length_493_cov_48.0628	Klebsiella	pneumoniae	N25C9
NODE_48_length_491_cov_0.576923	Klebsiella	pneumoniae	N25C9
NODE_49_length_484_cov_65.5546	Klebsiella	pneumoniae	N25C9
NODE_50_length_460_cov_0.408408	Klebsiella	pneumoniae	N25C9
NODE_51_length_442_cov_0.663492	Klebsiella	pneumoniae	N25C9
NODE_52_length_441_cov_0.694268	Klebsiella	pneumoniae	N25C9
NODE_53_length_441_cov_0.786624	Klebsiella	pneumoniae	N25C9
NODE_54_length_437_cov_0.709677	Klebsiella	pneumoniae	N25C9
NODE_55_length_437_cov_0.796774	Klebsiella	pneumoniae	N25C9
NODE_56_length_433_cov_0.656863	Klebsiella	pneumoniae	N25C9
NODE_57_length_432_cov_0.809836	Klebsiella	pneumoniae	N25C9
NODE_58_length_429_cov_0.774834	Klebsiella	pneumoniae	N25C9
NODE_59_length_418_cov_0.652921	Klebsiella	pneumoniae	N25C9
NODE_60_length_418_cov_0.728522	Klebsiella	pneumoniae	N25C9
NODE_61_length_417_cov_0.668966	Klebsiella	pneumoniae	N25C9
NODE_62_length_413_cov_0.867133	Klebsiella	pneumoniae	N25C9
NODE_63_length_413_cov_0.863636	Klebsiella	pneumoniae	N25C9
NODE_64_length_412_cov_0.785965	Klebsiella	pneumoniae	N25C9
NODE_65_length_412_cov_0.866667	Klebsiella	pneumoniae	N25C9
NODE_66_length_411_cov_0.75	Klebsiella	pneumoniae	N25C9
NODE_67_length_411_cov_0.732394	Klebsiella	pneumoniae	N25C9
NODE_68_length_407_cov_0.885714	Klebsiella	pneumoniae	N25C9
NODE_69_length_406_cov_0.885305	Klebsiella	pneumoniae	N25C9
NODE_70_length_403_cov_0.688406	Klebsiella	pneumoniae	N25C9
NODE_71_length_403_cov_0.811594	Klebsiella	pneumoniae	N25C9
NODE_72_length_402_cov_0.847273	Klebsiella	pneumoniae	N25C9
NODE_73_length_402_cov_44.9818	Klebsiella	pneumoniae	N25C9
NODE_74_length_401_cov_0.788321	Klebsiella	pneumoniae	N25C9
NODE_75_length_400_cov_0.879121	Klebsiella	pneumoniae	N25C9
NODE_76_length_400_cov_0.714286	Klebsiella	pneumoniae	N25C9
NODE_77_length_398_cov_0.642066	Klebsiella	pneumoniae	N25C9
NODE_78_length_397_cov_0.766667	Klebsiella	pneumoniae	N25C9
NODE_79_length_396_cov_0.67658	Klebsiella	pneumoniae	N25C9
NODE_80_length_396_cov_0.732342	Klebsiella	pneumoniae	N25C9
NODE_81_length_395_cov_0.794776	Klebsiella	pneumoniae	N25C9
NODE_82_length_392_cov_0.932075	Klebsiella	pneumoniae	N25C9
NODE_83_length_391_cov_0.776515	Klebsiella	pneumoniae	N25C9
NODE_84_length_390_cov_0.684411	Klebsiella	pneumoniae	N25C9
NODE_85_length_388_cov_0.931034	Klebsiella	pneumoniae	N25C9
NODE_86_length_388_cov_0.94636	Klebsiella	pneumoniae	N25C9
NODE_87_length_387_cov_35.4962	Klebsiella	pneumoniae	N25C9
NODE_88_length_386_cov_0.957529	Klebsiella	pneumoniae	N25C9
NODE_89_length_385_cov_0.953488	Klebsiella	pneumoniae	N25C9
NODE_90_length_385_cov_0.604651	Klebsiella	pneumoniae	N25C9
NODE_91_length_385_cov_0.96124	Klebsiella	pneumoniae	N25C9
NODE_92_length_385_cov_0.856589	Klebsiella	pneumoniae	N25C9
NODE_93_length_384_cov_0.906615	Klebsiella	pneumoniae	N25C9
NODE_94_length_384_cov_0.478599	Klebsiella	pneumoniae	N25C9
NODE_95_length_383_cov_0.824219	Klebsiella	pneumoniae	N25C9
NODE_96_length_382_cov_0.972549	Klebsiella	pneumoniae	N25C9
NODE_97_length_381_cov_0.933071	Klebsiella	pneumoniae	N25C9
NODE_98_length_380_cov_0.980237	Klebsiella	pneumoniae	N25C9
NODE_99_length_379_cov_0.940476	Klebsiella	pneumoniae	N25C9
NODE_100_length_352_cov_31.6533	Klebsiella	pneumoniae	N25C9
NODE_101_length_331_cov_39.5294	Klebsiella	pneumoniae	N25C9
NODE_102_length_309_cov_239.099	Klebsiella	pneumoniae	N25C9
NODE_103_length_254_cov_1.0315	Klebsiella	pneumoniae	N25C9
NODE_104_length_254_cov_48.3543	Klebsiella	pneumoniae	N25C9
NODE_105_length_253_cov_1.48413	Klebsiella	pneumoniae	N25C9
NODE_106_length_252_cov_66.016	Klebsiella	pneumoniae	N25C9
NODE_107_length_251_cov_2.81452	Klebsiella	pneumoniae	N25C9
NODE_108_length_251_cov_1.19355	Klebsiella	pneumoniae	N25C9
NODE_109_length_250_cov_40.2846	Klebsiella	pneumoniae	N25C9
NODE_110_length_249_cov_1.2459	Klebsiella	pneumoniae	N25C9
NODE_111_length_246_cov_1.53782	Klebsiella	pneumoniae	N25C9
NODE_112_length_245_cov_1.4661	Klebsiella	pneumoniae	N25C9
NODE_113_length_245_cov_1.47458	Klebsiella	pneumoniae	N25C9
NODE_114_length_244_cov_1.54701	Klebsiella	pneumoniae	N25C9
NODE_115_length_202_cov_142.707	Klebsiella	pneumoniae	N25C9
NODE_116_length_190_cov_1.57143	Klebsiella	pneumoniae	N25C9
NODE_117_length_190_cov_1.30159	Klebsiella	pneumoniae	N25C9
NODE_118_length_189_cov_1.53226	Klebsiella	pneumoniae	N25C9
NODE_119_length_184_cov_2.40351	Klebsiella	pneumoniae	N25C9
NODE_120_length_165_cov_3	Klebsiella	pneumoniae	N25C9
NODE_121_length_156_cov_1	Klebsiella	pneumoniae	N25C9
NODE_122_length_153_cov_165.385	Klebsiella	pneumoniae	N25C9
NODE_123_length_146_cov_1	Klebsiella	pneumoniae	N25C9
NODE_124_length_141_cov_88.6429	Klebsiella	pneumoniae	N25C9
NODE_125_length_128_cov_612	Klebsiella	pneumoniae	N25C9
NC_010804.1	Burkholderia	multivorans	ATCC_17616
NC_010805.1	Burkholderia	multivorans	ATCC_17616
NC_010801.1	Burkholderia	multivorans	ATCC_17616
NC_010802.1	Burkholderia	multivorans	ATCC_17616
CP011539	Enterobacter	aerogenes	 548.155
FO203353	Enterobacter	aerogenes	 935296.3
FO203354	Enterobacter	aerogenes	 935296.3
FO203355	Enterobacter	aerogenes	 935296.3
CP011573	Enterobacter	aerogenes	 548.115
CP011574	Enterobacter	aerogenes	 548.115
CP014029	Enterobacter	aerogenes	 548.154
CP014747	Enterobacter	aerogenes	 548.156
CP014748	Enterobacter	aerogenes	 548.156
CP010374	Enterobacter	cloacae	 550.153
CP010375	Enterobacter	cloacae	 550.153
CP010376	Enterobacter	cloacae	 550.153
CP014280	Enterobacter	cloacae	 550.622
CP010363	Enterobacter	cloacae	 550.253
CP010364	Enterobacter	cloacae	 550.253
CP010365	Enterobacter	cloacae	 550.253
CP010366	Enterobacter	cloacae	 550.253
CP010367	Enterobacter	cloacae	 550.253
CP012165	Enterobacter	cloacae	 550.253
CP012166	Enterobacter	cloacae	 550.253
CP011582	Enterobacter	cloacae	 550.487
CP011583	Enterobacter	cloacae	 550.487
CP011584	Enterobacter	cloacae	 550.487
CP011569	Enterobacter	cloacae	 550.488
CP011570	Enterobacter	cloacae	 550.488
CP011571	Enterobacter	cloacae	 550.488
CP011572	Enterobacter	cloacae	 550.488
CP022532	Enterobacter	cloacae	 550.1235
CP022533	Enterobacter	cloacae	 550.1235
CP022534	Enterobacter	cloacae	 550.1235
CP011579	Enterobacter	cloacae	 550.486
CP011580	Enterobacter	cloacae	 550.486
CP011581	Enterobacter	cloacae	 550.486
CP010377	Enterobacter	cloacae	 550.154
CP010378	Enterobacter	cloacae	 550.154
CP010379	Enterobacter	cloacae	 550.154
CP010380	Enterobacter	cloacae	 550.154
CP008823	Enterobacter	cloacae	 1333850.3
CP008824	Enterobacter	cloacae	 1333850.3
CP008825	Enterobacter	cloacae	 1333850.3
CP008826	Enterobacter	cloacae	 1333850.3
CP008897	Enterobacter	cloacae	 1333851.3
CP008898	Enterobacter	cloacae	 1333851.3
CP008899	Enterobacter	cloacae	 1333851.3
CP008900	Enterobacter	cloacae	 1333851.3
CP008901	Enterobacter	cloacae	 1333851.3
CP010381	Enterobacter	cloacae	 550.254
CP010382	Enterobacter	cloacae	 550.254
CP010383	Enterobacter	cloacae	 550.254
CP012167	Enterobacter	cloacae	 550.254
CP012168	Enterobacter	cloacae	 550.254
CP012169	Enterobacter	cloacae	 550.254
CP017186	Enterobacter	cloacae	 1812934.3
CP017187	Enterobacter	cloacae	 1812934.3
CP011648	Enterobacter	cloacae	 550.388
CP011649	Enterobacter	cloacae	 550.388
CP011650	Enterobacter	cloacae	 550.388
FP929040	Enterobacter	cloacae	 718254.4
CP017184	Enterobacter	cloacae	 1812935.7
CP017185	Enterobacter	cloacae	 1812935.7
CP010512	Enterobacter	cloacae	 550.642
CP010513	Enterobacter	cloacae	 550.642
JTBO01000001	Enterobacter	cloacae	 550.252
CP021851	Enterobacter	cloacae	 550.1143
CP010384	Enterobacter	cloacae	 550.155
CP010385	Enterobacter	cloacae	 550.155
CP010386	Enterobacter	cloacae	 550.155
CP010387	Enterobacter	cloacae	 550.155
CP008905	Enterobacter	cloacae	 1333849.3
CP008906	Enterobacter	cloacae	 1333849.3
CP008907	Enterobacter	cloacae	 1333849.3
CP008908	Enterobacter	cloacae	 1333849.3
CP017473	Enterobacter	cloacae	 550.1232
CP017475	Enterobacter	cloacae	 550.1232
CP013049	Mycobacterium	abscessus	 36809.213
CP016188	Mycobacterium	abscessus	 36809.380
CP021122	Mycobacterium	abscessus	 1962118.4
CP014950	Mycobacterium	abscessus	 36809.363
CP014953	Mycobacterium	abscessus	 36809.366
CP014954	Mycobacterium	abscessus	 36809.367
CP009615	Mycobacterium	abscessus	 1185650.3
CP009616	Mycobacterium	abscessus	 1185650.4
CP016190	Mycobacterium	abscessus	 36809.381
CP014959	Mycobacterium	abscessus	 36809.372
CP014956	Mycobacterium	abscessus	 36809.369
CP009447	Mycobacterium	abscessus	 319705.13
CP014957	Mycobacterium	abscessus	 36809.370
CP014951	Mycobacterium	abscessus	 36809.364
CP004374	Mycobacterium	abscessus	 1303024.3
CP004375	Mycobacterium	abscessus	 1303024.3
CP004376	Mycobacterium	abscessus	 1303024.3
CP014960	Mycobacterium	abscessus	 36809.373
CP016191	Mycobacterium	abscessus	 36809.382
CP009408	Mycobacterium	abscessus	 319705.14
CP016192	Mycobacterium	abscessus	 36809.383
CP014955	Mycobacterium	abscessus	 36809.368
CP014961	Mycobacterium	abscessus	 36809.374
CP016193	Mycobacterium	abscessus	 36809.384
CP009407	Mycobacterium	abscessus	 1299325.4
CP012044	Mycobacterium	abscessus	 1132508.3
CP009613	Mycobacterium	abscessus	 319705.15
CP014952	Mycobacterium	abscessus	 36809.365
CP014958	Mycobacterium	abscessus	 36809.371
CP023575	Mycobacterium	tuberculosis	 1773.8659
CM002126	Mycobacterium	tuberculosis	 1352571.3
CP023636	Mycobacterium	tuberculosis	 1773.8720
CM002097	Mycobacterium	tuberculosis	 1352598.3
CP007809	Mycobacterium	tuberculosis	 1773.249
MMHD01000001	Mycobacterium	tuberculosis	 1773.6106
CP023596	Mycobacterium	tuberculosis	 1773.8680
MMMP01000001	Mycobacterium	tuberculosis	 1773.6153
CP023577	Mycobacterium	tuberculosis	 1773.8661
CM002122	Mycobacterium	tuberculosis	 1352574.3
CP012506	Mycobacterium	tuberculosis	 1773.836
CP016972	Mycobacterium	tuberculosis	 419947.17
CM002109	Mycobacterium	tuberculosis	 1352586.3
CP023598	Mycobacterium	tuberculosis	 1773.8682
CM002102	Mycobacterium	tuberculosis	 1352594.3
MMBZ01000001	Mycobacterium	tuberculosis	 1773.6273
CP023622	Mycobacterium	tuberculosis	 1773.8705
CM002113	Mycobacterium	tuberculosis	 1352584.3
CP023630	Mycobacterium	tuberculosis	 1773.8714
CP023609	Mycobacterium	tuberculosis	 1773.8693
CM002123	Mycobacterium	tuberculosis	 1352577.3
CM002120	Mycobacterium	tuberculosis	 1352576.3
CP023597	Mycobacterium	tuberculosis	 1773.8681
MMNX01000001	Mycobacterium	tuberculosis	 1773.6141
CM002103	Mycobacterium	tuberculosis	 1352595.3
CP023627	Mycobacterium	tuberculosis	 1773.8711
CP023580	Mycobacterium	tuberculosis	 1773.8664
CP010873	Mycobacterium	tuberculosis	 1773.554
CP023637	Mycobacterium	tuberculosis	 1773.8721
MMPA01000001	Mycobacterium	tuberculosis	 1773.6471
CM002054	Mycobacterium	tuberculosis	 1344045.3
CM002080	Mycobacterium	tuberculosis	 1346781.3
CP023623	Mycobacterium	tuberculosis	 1773.8707
NC_000962	Mycobacterium	tuberculosis	 83332.12
CP023633	Mycobacterium	tuberculosis	 1773.8718
CM002074	Mycobacterium	tuberculosis	 1346787.3
CP023615	Mycobacterium	tuberculosis	 1773.8699
CP022014	Mycobacterium	tuberculosis	 1773.8399
CM002066	Mycobacterium	tuberculosis	 1346774.3
CP023587	Mycobacterium	tuberculosis	 1773.8671
CP023590	Mycobacterium	tuberculosis	 1773.8674
CP017920	Mycobacterium	tuberculosis	 1773.6725
CP017595	Mycobacterium	tuberculosis	 1773.8215
CP017598	Mycobacterium	tuberculosis	 1773.8218
CP023616	Mycobacterium	tuberculosis	 1773.8701
CP023604	Mycobacterium	tuberculosis	 1773.8687
CM002062	Mycobacterium	tuberculosis	 1346770.3
CP023605	Mycobacterium	tuberculosis	 1773.8688
CM002059	Mycobacterium	tuberculosis	 1346767.3
CM002052	Mycobacterium	tuberculosis	 1344043.3
CP023579	Mycobacterium	tuberculosis	 1773.8663
CM002124	Mycobacterium	tuberculosis	 1352573.3
MMMH01000001	Mycobacterium	tuberculosis	 1773.6185
MMOE01000001	Mycobacterium	tuberculosis	 1773.6130
CM002116	Mycobacterium	tuberculosis	 1352580.3
CP023613	Mycobacterium	tuberculosis	 1773.8697
CM002068	Mycobacterium	tuberculosis	 1346776.3
CM002121	Mycobacterium	tuberculosis	 1352575.3
CM002075	Mycobacterium	tuberculosis	 1346788.3
AP018036	Mycobacterium	tuberculosis	 1773.8653
CP017597	Mycobacterium	tuberculosis	 1773.8217
CM002118	Mycobacterium	tuberculosis	 1352581.3
CM002049	Mycobacterium	tuberculosis	 1262525.3
CM002073	Mycobacterium	tuberculosis	 1346779.3
CM002057	Mycobacterium	tuberculosis	 1344048.3
CP023574	Mycobacterium	tuberculosis	 1773.8658
CP017594	Mycobacterium	tuberculosis	 1773.8214
CM002107	Mycobacterium	tuberculosis	 1352590.3
CM002058	Mycobacterium	tuberculosis	 1346765.3
MMHJ01000001	Mycobacterium	tuberculosis	 1773.6113
MMYL01000001	Mycobacterium	tuberculosis	 1773.6607
CP023614	Mycobacterium	tuberculosis	 1773.8698
CP011510	Mycobacterium	tuberculosis	 1773.6029
CM002078	Mycobacterium	tuberculosis	 1346786.3
CP023617	Mycobacterium	tuberculosis	 1773.8700
NC_009565	Mycobacterium	tuberculosis	 336982.7
CP023578	Mycobacterium	tuberculosis	 1773.8662
MMCW01000001	Mycobacterium	tuberculosis	 1773.6249
CM002072	Mycobacterium	tuberculosis	 1346780.3
CP018303	Mycobacterium	tuberculosis	 1773.6742
MMOU01000001	Mycobacterium	tuberculosis	 1773.6476
CM002115	Mycobacterium	tuberculosis	 1352582.3
CM002056	Mycobacterium	tuberculosis	 1344046.3
CP023589	Mycobacterium	tuberculosis	 1773.8673
MMNU01000001	Mycobacterium	tuberculosis	 1773.6164
CM002100	Mycobacterium	tuberculosis	 1352597.3
CP018300	Mycobacterium	tuberculosis	 1773.6746
MMNF01000001	Mycobacterium	tuberculosis	 1773.6127
NC_009525	Mycobacterium	tuberculosis	 419947.8
CM002108	Mycobacterium	tuberculosis	 1352588.3
CM002061	Mycobacterium	tuberculosis	 1346768.3
MMGE01000001	Mycobacterium	tuberculosis	 1773.6081
MMLS01000001	Mycobacterium	tuberculosis	 1773.6172
CM002104	Mycobacterium	tuberculosis	 1352593.3
CP023608	Mycobacterium	tuberculosis	 1773.8692
CP023611	Mycobacterium	tuberculosis	 1773.8695
CM002127	Mycobacterium	tuberculosis	 1352570.3
CM002105	Mycobacterium	tuberculosis	 1352592.3
CP023600	Mycobacterium	tuberculosis	 1773.8684
NC_012943	Mycobacterium	tuberculosis	 478434.4
CP017596	Mycobacterium	tuberculosis	 1773.8216
CP010968	Mycobacterium	tuberculosis	 1773.2409
CM002110	Mycobacterium	tuberculosis	 1352589.3
AP018033	Mycobacterium	tuberculosis	 1773.8650
CM002117	Mycobacterium	tuberculosis	 1352583.3
CM002071	Mycobacterium	tuberculosis	 1346782.3
CP023629	Mycobacterium	tuberculosis	 1773.8712
CP023606	Mycobacterium	tuberculosis	 1773.8689
MMAF01000001	Mycobacterium	tuberculosis	 1773.6322
MMOL01000001	Mycobacterium	tuberculosis	 1773.6486
CP009426	Mycobacterium	tuberculosis	 1773.522
CM002076	Mycobacterium	tuberculosis	 1346783.3
CP018304	Mycobacterium	tuberculosis	 1773.6747
CP023620	Mycobacterium	tuberculosis	 1773.8704
CP023594	Mycobacterium	tuberculosis	 1773.8679
CM002064	Mycobacterium	tuberculosis	 1346772.3
MMNA01000001	Mycobacterium	tuberculosis	 1773.6158
CM002111	Mycobacterium	tuberculosis	 1352585.3
CP023584	Mycobacterium	tuberculosis	 1773.8668
CP016794	Mycobacterium	tuberculosis	 1773.5970
CP023601	Mycobacterium	tuberculosis	 1773.8691
CM002112	Mycobacterium	tuberculosis	 1352587.3
CP023612	Mycobacterium	tuberculosis	 1773.8696
1773.349.con.1	Mycobacterium	tuberculosis	 1773.349
1773.349.con.10	Mycobacterium	tuberculosis	 1773.349
1773.349.con.100	Mycobacterium	tuberculosis	 1773.349
1773.349.con.101	Mycobacterium	tuberculosis	 1773.349
1773.349.con.102	Mycobacterium	tuberculosis	 1773.349
1773.349.con.103	Mycobacterium	tuberculosis	 1773.349
1773.349.con.104	Mycobacterium	tuberculosis	 1773.349
1773.349.con.105	Mycobacterium	tuberculosis	 1773.349
1773.349.con.106	Mycobacterium	tuberculosis	 1773.349
1773.349.con.107	Mycobacterium	tuberculosis	 1773.349
1773.349.con.108	Mycobacterium	tuberculosis	 1773.349
1773.349.con.109	Mycobacterium	tuberculosis	 1773.349
1773.349.con.11	Mycobacterium	tuberculosis	 1773.349
1773.349.con.110	Mycobacterium	tuberculosis	 1773.349
1773.349.con.111	Mycobacterium	tuberculosis	 1773.349
1773.349.con.112	Mycobacterium	tuberculosis	 1773.349
1773.349.con.113	Mycobacterium	tuberculosis	 1773.349
1773.349.con.114	Mycobacterium	tuberculosis	 1773.349
1773.349.con.115	Mycobacterium	tuberculosis	 1773.349
1773.349.con.116	Mycobacterium	tuberculosis	 1773.349
1773.349.con.117	Mycobacterium	tuberculosis	 1773.349
1773.349.con.118	Mycobacterium	tuberculosis	 1773.349
1773.349.con.119	Mycobacterium	tuberculosis	 1773.349
1773.349.con.12	Mycobacterium	tuberculosis	 1773.349
1773.349.con.120	Mycobacterium	tuberculosis	 1773.349
1773.349.con.121	Mycobacterium	tuberculosis	 1773.349
1773.349.con.122	Mycobacterium	tuberculosis	 1773.349
1773.349.con.123	Mycobacterium	tuberculosis	 1773.349
1773.349.con.124	Mycobacterium	tuberculosis	 1773.349
1773.349.con.125	Mycobacterium	tuberculosis	 1773.349
1773.349.con.126	Mycobacterium	tuberculosis	 1773.349
1773.349.con.127	Mycobacterium	tuberculosis	 1773.349
1773.349.con.128	Mycobacterium	tuberculosis	 1773.349
1773.349.con.129	Mycobacterium	tuberculosis	 1773.349
1773.349.con.13	Mycobacterium	tuberculosis	 1773.349
1773.349.con.130	Mycobacterium	tuberculosis	 1773.349
1773.349.con.131	Mycobacterium	tuberculosis	 1773.349
1773.349.con.132	Mycobacterium	tuberculosis	 1773.349
1773.349.con.133	Mycobacterium	tuberculosis	 1773.349
1773.349.con.134	Mycobacterium	tuberculosis	 1773.349
1773.349.con.135	Mycobacterium	tuberculosis	 1773.349
1773.349.con.136	Mycobacterium	tuberculosis	 1773.349
1773.349.con.137	Mycobacterium	tuberculosis	 1773.349
1773.349.con.138	Mycobacterium	tuberculosis	 1773.349
1773.349.con.139	Mycobacterium	tuberculosis	 1773.349
1773.349.con.14	Mycobacterium	tuberculosis	 1773.349
1773.349.con.140	Mycobacterium	tuberculosis	 1773.349
1773.349.con.141	Mycobacterium	tuberculosis	 1773.349
1773.349.con.142	Mycobacterium	tuberculosis	 1773.349
1773.349.con.143	Mycobacterium	tuberculosis	 1773.349
1773.349.con.144	Mycobacterium	tuberculosis	 1773.349
1773.349.con.145	Mycobacterium	tuberculosis	 1773.349
1773.349.con.146	Mycobacterium	tuberculosis	 1773.349
